"","onset","offset","midpoint","X0.2","Raw.p","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"1",-100,-64,-82,5.5,0,0,0,0,0,0,0
"2",-96,-60,-78,6.5,0,0,0,0,0,0,0
"3",-92,-56,-74,7.5,0,0,0,0,0,0,0
"4",-88,-52,-70,8.5,0,0,0,0,0,0,0
"5",-84,-48,-66,9.5,0,0,0,0,0,0,0
"15",-44,-8,-26,19.5,0,0,0,0,0,0,0
"17",-36,0,-18,21.5,0,0,0,0,0,0,0
"42",64,100,82,46.5,0,0,0,0,0,0,0
"16",-40,-4,-22,20.5,0.005,0.705,0.047,0.665,0.635,0.48,0.259887320760287
"40",56,92,74,44.5,0.005,0.705,0.047,0.665,0.635,0.48,0.259887320760287
"41",60,96,78,45.5,0.005,0.705,0.047,0.665,0.635,0.48,0.259887320760287
"43",68,104,86,47.5,0.005,0.705,0.047,0.665,0.635,0.48,0.259887320760287
"44",72,108,90,48.5,0.005,0.705,0.047,0.665,0.635,0.48,0.259887320760287
"45",76,112,94,49.5,0.005,0.705,0.047,0.665,0.635,0.48,0.259887320760287
"77",204,240,222,81.5,0.005,0.705,0.047,0.665,0.635,0.48,0.259887320760287
"6",-80,-44,-62,10.5,0.01,1,0.0671428571428571,1,0.7,0.664224137931034,0.371267601086125
"18",-32,4,-14,22.5,0.01,1,0.0671428571428571,1,0.7,0.664224137931034,0.371267601086125
"39",52,88,70,43.5,0.01,1,0.0671428571428571,1,0.7,0.664224137931034,0.371267601086125
"46",80,116,98,50.5,0.01,1,0.0671428571428571,1,0.7,0.664224137931034,0.371267601086125
"52",104,140,122,56.5,0.01,1,0.0671428571428571,1,0.7,0.664224137931034,0.371267601086125
"78",208,244,226,82.5,0.01,1,0.0671428571428571,1,0.7,0.664224137931034,0.371267601086125
"7",-76,-40,-58,11.5,0.015,1,0.0729310344827586,1,0.7,0.684888888888889,0.403273428765963
"9",-68,-32,-50,13.5,0.015,1,0.0729310344827586,1,0.7,0.684888888888889,0.403273428765963
"10",-64,-28,-46,14.5,0.015,1,0.0729310344827586,1,0.7,0.684888888888889,0.403273428765963
"14",-48,-12,-30,18.5,0.015,1,0.0729310344827586,1,0.7,0.684888888888889,0.403273428765963
"19",-28,8,-10,23.5,0.015,1,0.0729310344827586,1,0.7,0.684888888888889,0.403273428765963
"48",88,124,106,52.5,0.015,1,0.0729310344827586,1,0.7,0.684888888888889,0.403273428765963
"54",112,148,130,58.5,0.015,1,0.0729310344827586,1,0.7,0.684888888888889,0.403273428765963
"75",196,232,214,79.5,0.015,1,0.0729310344827586,1,0.7,0.684888888888889,0.403273428765963
"8",-72,-36,-54,12.5,0.02,1,0.0909677419354839,1,0.7,0.689705882352941,0.503007717600556
"76",200,236,218,80.5,0.02,1,0.0909677419354839,1,0.7,0.689705882352941,0.503007717600556
"13",-52,-16,-34,17.5,0.025,1,0.100714285714286,1,0.7,0.694814814814815,0.556901401629187
"38",48,84,66,42.5,0.025,1,0.100714285714286,1,0.7,0.694814814814815,0.556901401629187
"47",84,120,102,51.5,0.025,1,0.100714285714286,1,0.7,0.694814814814815,0.556901401629187
"50",96,132,114,54.5,0.025,1,0.100714285714286,1,0.7,0.694814814814815,0.556901401629187
"51",100,136,118,55.5,0.03,1,0.111315789473684,1,0.7,0.699130434782609,0.615522601800681
"55",116,152,134,59.5,0.03,1,0.111315789473684,1,0.7,0.699130434782609,0.615522601800681
"73",188,224,206,77.5,0.03,1,0.111315789473684,1,0.7,0.699130434782609,0.615522601800681
"11",-60,-24,-42,15.5,0.035,1,0.114767441860465,1,0.7,0.7,0.634608573949539
"20",-24,12,-6,24.5,0.035,1,0.114767441860465,1,0.7,0.7,0.634608573949539
"49",92,128,110,53.5,0.035,1,0.114767441860465,1,0.7,0.7,0.634608573949539
"72",184,220,202,76.5,0.035,1,0.114767441860465,1,0.7,0.7,0.634608573949539
"74",192,228,210,78.5,0.035,1,0.114767441860465,1,0.7,0.7,0.634608573949539
"53",108,144,126,57.5,0.04,1,0.125333333333333,1,0.7,0.7,0.693032855360766
"56",120,156,138,60.5,0.04,1,0.125333333333333,1,0.7,0.7,0.693032855360766
"12",-56,-20,-38,16.5,0.055,1,0.168586956521739,1,0.7,0.7,0.932204520118422
"57",124,160,142,61.5,0.06,1,0.17625,1,0.7,0.7,0.974577452851078
"79",212,248,230,83.5,0.06,1,0.17625,1,0.7,0.7,0.974577452851078
"21",-20,16,-2,25.5,0.065,1,0.179705882352941,1,0.7,0.7,0.993686814671687
