times,mu_N1_er_low,mu_N1_er_mid,mu_N1_er_high,mu_N1_RE_low,mu_N1_RE_mid,mu_N1_RE_high
-100,-0.08648263,0.03340935,-0.04900029,-0.1323446,0.008853128,0.05340569
-96,-0.1003975,0.04592215,-0.04156543,-0.1291965,0.01092122,0.07948797
-92,-0.08494027,0.05366427,-0.01269505,-0.06106367,0.01427769,0.09513394
-88,-0.05265609,0.05584532,0.0153539,0.03702167,0.02051136,0.09066111
-84,-0.02365056,0.05103214,0.01783788,0.1051803,0.02604928,0.06393331
-80,-0.00654834,0.03872354,-0.01218079,0.1028098,0.02405266,0.02445731
-76,0.006696833,0.02251373,-0.05951624,0.0347108,0.01094583,-0.01334909
-72,0.02914933,0.008884891,-0.098504,-0.05657388,-0.009669301,-0.04433194
-68,0.06100025,0.002017041,-0.1107272,-0.1253138,-0.02925586,-0.07799148
-64,0.0833279,0.0002563568,-0.0956331,-0.1556336,-0.04003735,-0.1258659
-60,0.07244822,-0.001664303,-0.06687367,-0.1657175,-0.03896305,-0.1818962
-56,0.02360543,-0.0068566,-0.03903373,-0.1823356,-0.02769146,-0.2175878
-52,-0.03891406,-0.01324476,-0.01683026,-0.2116634,-0.01062925,-0.2015581
-48,-0.07777172,-0.01662428,0.004636347,-0.2334705,0.006320529,-0.1283066
-44,-0.07266744,-0.01618874,0.03066966,-0.2211275,0.01660636,-0.0290773
-40,-0.03736772,-0.01584345,0.05860605,-0.1651891,0.01558805,0.04768313
-36,-0.007019252,-0.01941314,0.07822521,-0.07803781,0.004467841,0.07077651
-32,-0.006596629,-0.02531888,0.08011739,0.02072944,-0.008543924,0.04628374
-28,-0.02928649,-0.02761536,0.06411687,0.1189554,-0.01326978,0.007680328
-24,-0.04402427,-0.02317248,0.04062151,0.2109821,-0.006031069,-0.01207748
-20,-0.02360727,-0.01689527,0.02439512,0.286112,0.00653784,-0.0005152648
-16,0.03355594,-0.01775268,0.02638547,0.324599,0.01357923,0.03642931
-12,0.1062785,-0.02831905,0.04920214,0.3099426,0.01144519,0.08908815
-8,0.1707751,-0.03903171,0.08753134,0.2456859,0.008980384,0.1525817
-4,0.2156959,-0.03513233,0.1311609,0.1573728,0.01972074,0.222589
0,0.2391878,-0.01121925,0.1684632,0.07519165,0.04711441,0.2884614
4,0.2371925,0.02108171,0.1902262,0.01375758,0.0772695,0.3359425
8,0.2014209,0.04161914,0.1939969,-0.03105628,0.08787622,0.3586147
12,0.1320414,0.03982028,0.1869963,-0.06671008,0.06664344,0.3650387
16,0.05018259,0.02532225,0.1843298,-0.08850496,0.02290293,0.3721296
20,-0.007446797,0.0205424,0.2015626,-0.08155639,-0.01792426,0.3908292
24,-0.01106266,0.04237028,0.2455529,-0.036957,-0.03131552,0.4196017
28,0.04265234,0.09109045,0.3101949,0.03791424,-0.00656437,0.4532435
32,0.1323292,0.1568849,0.3810062,0.1282712,0.05402603,0.4971606
36,0.2318323,0.2353637,0.4457139,0.2303521,0.144585,0.5697755
40,0.327016,0.3333866,0.5025525,0.3566688,0.2608152,0.6870397
44,0.4132799,0.4565325,0.5588782,0.5180659,0.3948653,0.8419604
48,0.4806893,0.590337,0.6201665,0.6985543,0.5274554,0.9990637
52,0.5078554,0.6969881,0.6781278,0.8499476,0.6295693,1.11142
56,0.475288,0.7360907,0.7092683,0.9162316,0.676569,1.148205
60,0.3853658,0.6941105,0.6882685,0.8689736,0.6638304,1.112151
64,0.2661785,0.5962277,0.6082082,0.7243556,0.6097278,1.035346
68,0.1522556,0.4886168,0.4917409,0.5298094,0.5428225,0.9587069
72,0.06004942,0.405811,0.3817569,0.3349847,0.4842789,0.9102712
76,-0.01736999,0.3511748,0.3154375,0.1716492,0.4396347,0.8944837
80,-0.09169792,0.305659,0.3001902,0.0530418,0.4037581,0.8951257
84,-0.1576511,0.2534608,0.310609,-0.01746169,0.3704792,0.8871098
88,-0.1927704,0.1985919,0.3096194,-0.04356488,0.3364796,0.8499947
92,-0.1809898,0.1572157,0.2766863,-0.04107373,0.298013,0.7768921
96,-0.1366336,0.1354405,0.2193886,-0.03905926,0.2478261,0.675146
100,-0.1035196,0.1163607,0.1590996,-0.06828956,0.1784615,0.5595342
104,-0.1275929,0.07029343,0.1050666,-0.1435694,0.0892133,0.4433712
108,-0.2267494,-0.02096978,0.04227225,-0.2560048,-0.01158609,0.3341478
112,-0.3831627,-0.1484703,-0.05418988,-0.3827782,-0.11267,0.2357551
116,-0.5611786,-0.282777,-0.1909903,-0.5047495,-0.2084307,0.1523102
120,-0.7310616,-0.3957255,-0.3417527,-0.6151586,-0.3006653,0.08672198
124,-0.8776328,-0.477264,-0.4613414,-0.7133729,-0.3913252,0.03375162
128,-0.9918776,-0.5345011,-0.518271,-0.7937988,-0.4742534,-0.02390387
132,-1.06149,-0.5779738,-0.5171894,-0.8438544,-0.5356474,-0.1076427
136,-1.074867,-0.6106724,-0.4922171,-0.8529183,-0.5640441,-0.2252045
140,-1.035492,-0.62941,-0.4784792,-0.821114,-0.5604031,-0.3574896
144,-0.9697846,-0.6337643,-0.488076,-0.7579035,-0.5383032,-0.4642142
148,-0.916098,-0.630543,-0.5102755,-0.673665,-0.5139706,-0.5077764
152,-0.900887,-0.6282086,-0.5313607,-0.575981,-0.4955232,-0.4780415
156,-0.9213306,-0.6277266,-0.5517219,-0.4753999,-0.4805844,-0.3985234
160,-0.9489256,-0.6205449,-0.583259,-0.3913292,-0.4623218,-0.3095653
164,-0.9506161,-0.5967218,-0.6318242,-0.345471,-0.4362558,-0.2428543
168,-0.9099852,-0.5552147,-0.6845077,-0.3440263,-0.4015641,-0.2069487
172,-0.8329642,-0.5057859,-0.7154419,-0.3662685,-0.3582009,-0.1917819
176,-0.7371404,-0.460472,-0.7043515,-0.3754738,-0.3056176,-0.1836818
180,-0.6369826,-0.4231327,-0.650069,-0.3468207,-0.2454286,-0.1764325
184,-0.5378603,-0.3874009,-0.5681541,-0.2875912,-0.1840716,-0.1714742
188,-0.4410222,-0.344799,-0.4785049,-0.2298452,-0.1306277,-0.1715051
192,-0.3512187,-0.2947342,-0.3969729,-0.2017884,-0.09085342,-0.1755142
196,-0.277991,-0.2465314,-0.3368203,-0.2050297,-0.06384157,-0.1785845
200,-0.2298935,-0.2117506,-0.3121172,-0.2186392,-0.04549554,-0.1742812
204,-0.2089287,-0.1944201,-0.3324639,-0.2234998,-0.03508005,-0.1570685
208,-0.2121329,-0.1883557,-0.3904181,-0.2205195,-0.03673548,-0.124933
212,-0.2390427,-0.1834913,-0.4558183,-0.2245363,-0.05291352,-0.08258224
216,-0.2961441,-0.1746409,-0.4887571,-0.2427654,-0.07635283,-0.04240915
220,-0.3906814,-0.1644877,-0.4655451,-0.2630405,-0.09052991,-0.01931949
224,-0.5164937,-0.1587898,-0.3968772,-0.2655331,-0.08070209,-0.02049971
228,-0.6447991,-0.159263,-0.3211484,-0.2452487,-0.04628153,-0.03810079
232,-0.7323934,-0.1612352,-0.2767171,-0.2203269,-0.002577598,-0.05297118
236,-0.7464277,-0.1579755,-0.2755893,-0.2161243,0.03062011,-0.04846065
240,-0.6887855,-0.1471109,-0.2995831,-0.2408215,0.04377858,-0.02317801
244,-0.599103,-0.1329673,-0.3198377,-0.2772621,0.04288706,0.008615166
248,-0.5298693,-0.1229938,-0.3207814,-0.2988975,0.04174872,0.02926035
252,-0.5098452,-0.1219695,-0.3083498,-0.2934533,0.04971965,0.0313585
256,-0.5239421,-0.1291418,-0.2988329,-0.271429,0.06606393,0.02117835
260,-0.5266051,-0.1400796,-0.3020597,-0.253132,0.08401229,0.01086566
264,-0.4789333,-0.1506865,-0.314721,-0.2491054,0.09812173,0.008722984
268,-0.3797278,-0.1595923,-0.3269124,-0.2531368,0.1072196,0.0162761
272,-0.2654855,-0.1675603,-0.3319888,-0.252204,0.1119033,0.03163096
276,-0.1807501,-0.1755551,-0.3291545,-0.2408312,0.1117626,0.05219311
280,-0.1451904,-0.1836601,-0.3182907,-0.2254763,0.1064532,0.07327546
284,-0.1450185,-0.1911807,-0.2952283,-0.2172528,0.0987168,0.08701822
288,-0.153187,-0.1967038,-0.2541961,-0.2232829,0.09426686,0.08737261
292,-0.1569735,-0.1975485,-0.1954089,-0.245847,0.09716447,0.07874847
296,-0.1668401,-0.1898297,-0.1296539,-0.287346,0.105352,0.07794645
300,-0.2003724,-0.1705301,-0.07428029,-0.3518443,0.1117799,0.1027336
304,-0.2598537,-0.1407321,-0.04288468,-0.4388384,0.1106651,0.1545315
308,-0.3272784,-0.1068787,-0.0363418,-0.5356454,0.1024938,0.2121646
312,-0.3817888,-0.07768895,-0.04153389,-0.6186733,0.0923798,0.2458743
316,-0.4212051,-0.05827208,-0.03855788,-0.6659348,0.0834818,0.241191
320,-0.4650261,-0.0463511,-0.0121116,-0.6715131,0.07259759,0.2106572
324,-0.5349817,-0.03440315,0.03928987,-0.64947,0.05276887,0.1814219
328,-0.6318008,-0.01632606,0.101663,-0.6233952,0.02029037,0.1698946
332,-0.7306039,0.00719374,0.1533404,-0.6100942,-0.02098138,0.1677747
336,-0.7989103,0.02957455,0.1784938,-0.6104934,-0.06206696,0.1527539
340,-0.8197024,0.04472512,0.1776781,-0.6140059,-0.09517842,0.1126422
344,-0.7987226,0.05292145,0.1669326,-0.6109514,-0.1177655,0.05851768
348,-0.7522457,0.06062518,0.1646997,-0.6016384,-0.1314849,0.01402338
352,-0.6905993,0.07445424,0.1761755,-0.5948377,-0.1388436,-0.007795136
356,-0.6145142,0.09496752,0.1882715,-0.5979732,-0.1417797,-0.01642639
360,-0.5256364,0.1158795,0.180172,-0.6080791,-0.1428632,-0.03283467
364,-0.4368841,0.1290091,0.1407352,-0.6115146,-0.1460424,-0.06703974
368,-0.3691213,0.1300071,0.07775816,-0.5932986,-0.1546062,-0.1068585
372,-0.3360984,0.1198238,0.01172,-0.549274,-0.1681059,-0.1284085
376,-0.3327767,0.1016352,-0.03939217,-0.4914734,-0.1821068,-0.1174477
380,-0.3392441,0.07730546,-0.07045518,-0.4414382,-0.1919063,-0.08127767
384,-0.3368984,0.04712545,-0.08723239,-0.4153317,-0.1967746,-0.04159677
388,-0.3217562,0.01240283,-0.09713708,-0.4118752,-0.2002614,-0.01701402
392,-0.303387,-0.02273454,-0.1036146,-0.4130849,-0.2060373,-0.01169892
396,-0.2925324,-0.05286822,-0.108634,-0.398161,-0.2133317,-0.01798935
400,-0.2907755,-0.07478397,-0.1174401,-0.3598706,-0.2164031,-0.02669151
404,-0.291896,-0.08925652,-0.1374239,-0.309964,-0.2084427,-0.03399579
408,-0.2916928,-0.09922015,-0.1709153,-0.2688592,-0.1863538,-0.04089796
412,-0.2946107,-0.1062664,-0.2100923,-0.2481141,-0.1528319,-0.04973592
416,-0.3095246,-0.1091164,-0.2408201,-0.2404746,-0.1152501,-0.0633914
420,-0.3386094,-0.1055225,-0.2524769,-0.2256875,-0.08311202,-0.08673313
424,-0.3705108,-0.09548833,-0.244004,-0.1866459,-0.0652964,-0.1255908
428,-0.3853612,-0.08251137,-0.2205308,-0.122111,-0.06698813,-0.1814566
432,-0.3686008,-0.07167927,-0.1854085,-0.0463827,-0.08676185,-0.2464098
436,-0.3226736,-0.06639682,-0.1374417,0.02177852,-0.1160852,-0.3044799
440,-0.2669934,-0.06639599,-0.07689703,0.07039876,-0.1431842,-0.3401929
444,-0.2256365,-0.06814399,-0.01339981,0.09741691,-0.1595284,-0.3479887
448,-0.2115948,-0.06683761,0.03422635,0.1063843,-0.1636861,-0.33494
452,-0.2189264,-0.05862266,0.04821317,0.1014029,-0.1587943,-0.3149096
456,-0.228058,-0.0423357,0.02372197,0.08580673,-0.1461177,-0.2991894
460,-0.2196964,-0.0205092,-0.02817754,0.0630375,-0.1218355,-0.2905545
464,-0.1869792,0.0009884277,-0.08865307,0.0359256,-0.08152362,-0.2838522
468,-0.137894,0.01536161,-0.1428023,0.004197826,-0.02853181,-0.2711477
472,-0.08816346,0.01866893,-0.185533,-0.03590671,0.02294875,-0.2472882
476,-0.05179344,0.01247554,-0.2189773,-0.08733723,0.05532643,-0.2127877
480,-0.03637304,0.002914914,-0.2460418,-0.1461996,0.06037744,-0.172926
484,-0.04325335,-0.003574444,-0.2653801,-0.1997445,0.04567764,-0.1338055
488,-0.06621315,-0.004481127,-0.2688181,-0.2300086,0.02764598,-0.09835333
492,-0.08743751,-0.001909423,-0.2428169,-0.2206867,0.01706702,-0.0663579
496,-0.08538023,0.0005212762,-0.1815504,-0.1691314,0.01252013,-0.03847921
