times,mu_N1_er_low,mu_N1_er_mid,mu_N1_er_high,mu_N1_RE_low,mu_N1_RE_mid,mu_N1_RE_high
-100,0.04221063,NaN,-0.2346339,0.001334661,NaN,-0.03387555
-96,0.045991,NaN,-0.2592944,-0.009733387,NaN,-0.02279157
-92,0.05828809,NaN,-0.204151,0.003764582,NaN,-0.00537004
-88,0.06862965,NaN,-0.07866739,0.03774717,NaN,0.01677851
-84,0.06248039,NaN,0.04405359,0.06584858,NaN,0.03372145
-80,0.03514956,NaN,0.08688372,0.06159721,NaN,0.03243106
-76,0.000509432,NaN,0.03646161,0.0234413,NaN,0.004900294
-72,-0.0174768,NaN,-0.04517164,-0.02454762,NaN,-0.04651422
-68,-0.009255182,NaN,-0.07633389,-0.05575929,NaN,-0.1069166
-64,0.009478697,NaN,-0.02593286,-0.06454021,NaN,-0.1497308
-60,0.01176265,NaN,0.06595775,-0.06579827,NaN,-0.1443679
-56,-0.01278351,NaN,0.1310829,-0.07109866,NaN,-0.0734745
-52,-0.04524871,NaN,0.1351088,-0.07387146,NaN,0.0462875
-48,-0.05584498,NaN,0.100325,-0.05812841,NaN,0.1587389
-44,-0.03561547,NaN,0.07459039,-0.02244237,NaN,0.1943366
-40,-0.007256255,NaN,0.08270741,0.01184276,NaN,0.1193532
-36,-0.001212564,NaN,0.1061137,0.02100586,NaN,-0.02978734
-32,-0.02253027,NaN,0.1054037,0.00634566,NaN,-0.1628514
-28,-0.04391581,NaN,0.05800786,-0.004471045,NaN,-0.1967159
-24,-0.03598422,NaN,-0.0226392,0.01310606,NaN,-0.1169511
-20,-0.001850129,NaN,-0.09649111,0.0500857,NaN,0.01502758
-16,0.02299277,NaN,-0.1216275,0.07134476,NaN,0.1145723
-12,0.009159613,NaN,-0.0747213,0.05410617,NaN,0.1403379
-8,-0.03013658,NaN,0.0374787,0.01829425,NaN,0.1163518
-4,-0.04754308,NaN,0.1755887,0.01053991,NaN,0.09652451
0,-0.00986073,NaN,0.2793982,0.05493243,NaN,0.1115142
4,0.06239542,NaN,0.2972346,0.1224859,NaN,0.1486679
8,0.109087,NaN,0.2224287,0.1520593,NaN,0.1771588
12,0.08842245,NaN,0.1084019,0.1083575,NaN,0.1843719
16,0.02040514,NaN,0.03997988,0.01747974,NaN,0.1853546
20,-0.02879288,NaN,0.07327351,-0.05600289,NaN,0.2027029
24,-0.008877877,NaN,0.1913724,-0.06596266,NaN,0.2401455
28,0.0709962,NaN,0.3192092,-0.01792983,NaN,0.2931092
32,0.1604381,NaN,0.390445,0.05238678,NaN,0.364154
36,0.227248,NaN,0.4093941,0.1285553,NaN,0.4722058
40,0.2946364,NaN,0.4471253,0.2323114,NaN,0.6330556
44,0.4107419,NaN,0.5762826,0.3900346,NaN,0.8321844
48,0.581999,NaN,0.7942482,0.5854048,NaN,1.020226
52,0.7427812,NaN,1.011491,0.7505231,NaN,1.140457
56,0.7983375,NaN,1.117391,0.8134604,NaN,1.164088
60,0.7077196,NaN,1.067384,0.7576867,NaN,1.102661
64,0.5248256,NaN,0.914979,0.6342701,NaN,0.9922681
68,0.3560124,NaN,0.7634715,0.5184057,NaN,0.8684431
72,0.2728344,NaN,0.6834567,0.4510801,NaN,0.755008
76,0.2610095,NaN,0.6661605,0.4207789,NaN,0.6675175
80,0.2508814,NaN,0.6482528,0.394549,NaN,0.6162667
84,0.1944258,NaN,0.5771195,0.3573327,NaN,0.6006706
88,0.1122697,NaN,0.454377,0.320353,NaN,0.6023663
92,0.06584647,NaN,0.3237983,0.293622,NaN,0.5904647
96,0.08667845,NaN,0.2252498,0.2634871,NaN,0.5379573
100,0.135917,NaN,0.1619764,0.2020994,NaN,0.4368899
104,0.1329833,NaN,0.1089154,0.09869722,NaN,0.3001833
108,0.02609601,NaN,0.04364391,-0.02552176,NaN,0.152134
112,-0.1634278,NaN,-0.03609662,-0.1373741,NaN,0.01813486
116,-0.3617802,NaN,-0.1219023,-0.2250044,NaN,-0.08039118
120,-0.5038801,NaN,-0.2115183,-0.3073452,NaN,-0.1309534
124,-0.5774427,NaN,-0.3137086,-0.4074235,NaN,-0.1380582
128,-0.6141868,NaN,-0.4222886,-0.5205986,NaN,-0.1263734
132,-0.647358,NaN,-0.5093,-0.6121295,NaN,-0.1294685
136,-0.6803774,NaN,-0.5403633,-0.648929,NaN,-0.1662844
140,-0.6948999,NaN,-0.5082833,-0.630967,NaN,-0.2249996
144,-0.6817371,NaN,-0.4491329,-0.5893543,NaN,-0.2727791
148,-0.6575812,NaN,-0.418991,-0.5548585,NaN,-0.28462
152,-0.6493325,NaN,-0.4494797,-0.5319426,NaN,-0.263679
156,-0.6648312,NaN,-0.5245032,-0.5052687,NaN,-0.23224
160,-0.6824965,NaN,-0.5984919,-0.4666918,NaN,-0.2019236
164,-0.670773,NaN,-0.6372555,-0.4286384,NaN,-0.1567634
168,-0.6189624,NaN,-0.6411504,-0.4079815,NaN,-0.07206052
172,-0.5477982,NaN,-0.6295367,-0.3992243,NaN,0.04775827
176,-0.489195,NaN,-0.6091609,-0.3736883,NaN,0.1529982
180,-0.4558294,NaN,-0.5632439,-0.3079515,NaN,0.1786937
184,-0.4308916,NaN,-0.4725878,-0.2125227,NaN,0.09912799
188,-0.3872023,NaN,-0.3454085,-0.1262541,NaN,-0.04350691
192,-0.3168118,NaN,-0.222264,-0.0810994,NaN,-0.1652611
196,-0.241283,NaN,-0.1486508,-0.07341056,NaN,-0.2011968
200,-0.1934093,NaN,-0.1427666,-0.07326068,NaN,-0.148872
204,-0.1874379,NaN,-0.1877803,-0.06057614,NaN,-0.06007295
208,-0.2069716,NaN,-0.2515823,-0.04737085,NaN,0.005435765
212,-0.2209632,NaN,-0.3101883,-0.06051515,NaN,0.02049403
216,-0.2125039,NaN,-0.3540768,-0.1038278,NaN,-0.006643812
220,-0.1924032,NaN,-0.3796989,-0.1437318,NaN,-0.04638546
224,-0.1854895,NaN,-0.3828796,-0.1373404,NaN,-0.08468209
228,-0.2040965,NaN,-0.3615632,-0.07569652,NaN,-0.1147218
232,-0.2344617,NaN,-0.3192089,0.003699265,NaN,-0.1294947
236,-0.2493006,NaN,-0.2617193,0.04926554,NaN,-0.1202424
240,-0.2340601,NaN,-0.1917055,0.04111081,NaN,-0.08687523
244,-0.2008144,NaN,-0.1123655,0.005708844,NaN,-0.04427063
248,-0.1765885,NaN,-0.03952354,-0.01409023,NaN,-0.01258989
252,-0.1784421,NaN,-0.004019071,0.0004379931,NaN,0.00224874
256,-0.199474,NaN,-0.03131575,0.03227919,NaN,0.01624618
260,-0.2171416,NaN,-0.1126289,0.05326713,NaN,0.05314961
264,-0.2154399,NaN,-0.2013856,0.05309908,NaN,0.121187
268,-0.1978135,NaN,-0.2486238,0.04497363,NaN,0.2031377
272,-0.1803819,NaN,-0.2486188,0.04453308,NaN,0.2710575
276,-0.1746188,NaN,-0.2466672,0.0510641,NaN,0.3089572
280,-0.1780429,NaN,-0.2938923,0.05114507,NaN,0.3229197
284,-0.1809042,NaN,-0.3880857,0.03761382,NaN,0.3307499
288,-0.1786053,NaN,-0.4659518,0.02102398,NaN,0.3447088
292,-0.1746199,NaN,-0.4510929,0.01741245,NaN,0.3636487
296,-0.1728598,NaN,-0.3285423,0.0295471,NaN,0.3766316
300,-0.1692635,NaN,-0.1618223,0.04314485,NaN,0.3698898
304,-0.1554443,NaN,-0.03894969,0.04297153,NaN,0.3307744
308,-0.1303344,NaN,0.002392343,0.02951806,NaN,0.252579
312,-0.105658,NaN,-0.001427482,0.01748482,NaN,0.1447486
316,-0.09577288,NaN,0.01109134,0.01721138,NaN,0.03985278
320,-0.1010949,NaN,0.05776782,0.02115056,NaN,-0.01832673
324,-0.1054174,NaN,0.09474238,0.01075622,NaN,-0.006896911
328,-0.09012102,NaN,0.0663972,-0.02385253,NaN,0.04841457
332,-0.05444045,NaN,-0.02942416,-0.07346249,NaN,0.08198572
336,-0.01879493,NaN,-0.1302804,-0.1177585,NaN,0.03726422
340,-0.005592977,NaN,-0.161681,-0.1443228,NaN,-0.08037874
344,-0.01657712,NaN,-0.1016989,-0.1568276,NaN,-0.1978301
348,-0.0293643,NaN,0.004829521,-0.1668817,NaN,-0.227722
352,-0.01844162,NaN,0.09082592,-0.180708,NaN,-0.1408703
356,0.02135813,NaN,0.1225111,-0.19467,NaN,0.004605043
360,0.06875046,NaN,0.1113296,-0.2037968,NaN,0.1062331
364,0.09656879,NaN,0.08870921,-0.2088741,NaN,0.09787628
368,0.09451634,NaN,0.06490127,-0.2148364,NaN,0.002006466
372,0.07334556,NaN,0.03497452,-0.2235482,NaN,-0.09030419
376,0.04895028,NaN,0.003185768,-0.2313376,NaN,-0.09205297
380,0.02575671,NaN,-0.007335948,-0.2346998,NaN,0.01303571
384,-0.003222795,NaN,0.02134218,-0.2365292,NaN,0.16085
388,-0.0419727,NaN,0.07131046,-0.2426519,NaN,0.2576117
392,-0.08171697,NaN,0.09400208,-0.2540692,NaN,0.2513076
396,-0.108148,NaN,0.05431354,-0.2630432,NaN,0.1611868
400,-0.1164007,NaN,-0.0293946,-0.2597716,NaN,0.05881669
404,-0.1177061,NaN,-0.09512123,-0.2417792,NaN,0.0150014
408,-0.1273536,NaN,-0.09474754,-0.2150301,NaN,0.05271984
412,-0.148312,NaN,-0.04151484,-0.1856847,NaN,0.1368188
416,-0.167494,NaN,0.002130886,-0.1539578,NaN,0.2041384
420,-0.1699252,NaN,-0.01360692,-0.1187621,NaN,0.2095324
424,-0.1533134,NaN,-0.07642663,-0.08769228,NaN,0.1546138
428,-0.1294827,NaN,-0.1256965,-0.07723881,NaN,0.07846048
432,-0.111156,NaN,-0.1145803,-0.09751728,NaN,0.01940339
436,-0.100875,NaN,-0.05671724,-0.1379722,NaN,-0.01808216
440,-0.09268764,NaN,-0.008498272,-0.1702636,NaN,-0.06147244
444,-0.08273661,NaN,-0.008098301,-0.1728712,NaN,-0.1343802
448,-0.07390791,NaN,-0.03606124,-0.1512721,NaN,-0.2224299
452,-0.07085451,NaN,-0.03826423,-0.1315029,NaN,-0.2767788
456,-0.07010248,NaN,0.01499794,-0.1309092,NaN,-0.257115
460,-0.06228451,NaN,0.09820007,-0.1364123,NaN,-0.1742197
