times,mu_N1_er_low,mu_N1_er_mid,mu_N1_er_high,mu_N1_RE_low,mu_N1_RE_mid,mu_N1_RE_high
-100,-0.007644312,0.02333347,-0.04490282,-0.1320398,0.004543065,0.09200028
-96,-0.01382095,0.03420491,-0.02943242,-0.135371,0.006534984,0.1260652
-92,-0.01923306,0.0424925,0.01921068,-0.08294478,0.01178595,0.1417933
-88,-0.02425423,0.04578866,0.07862353,-0.000318288,0.02013691,0.1342874
-84,-0.03154346,0.04147883,0.1151593,0.07080965,0.02546401,0.1043224
-80,-0.04043568,0.02908266,0.1117618,0.09813434,0.0202117,0.05957934
-76,-0.04499286,0.01280872,0.08076227,0.07438802,0.002689336,0.01192669
-72,-0.04098036,-0.0002002887,0.05245821,0.02073408,-0.02114624,-0.03106164
-68,-0.03464508,-0.005344172,0.05052446,-0.02660492,-0.04278613,-0.06977318
-64,-0.04161937,-0.004394145,0.07530464,-0.03988218,-0.05727049,-0.1056504
-60,-0.07361313,-0.003405319,0.1079183,-0.01638307,-0.06426489,-0.1317717
-56,-0.1243397,-0.006522121,0.1289286,0.02387665,-0.0644254,-0.1337872
-52,-0.1693464,-0.01207847,0.1330728,0.05515845,-0.05671814,-0.1036159
-48,-0.1823645,-0.01515824,0.1275194,0.06272194,-0.04049283,-0.05313718
-44,-0.1546546,-0.01372103,0.118448,0.04795524,-0.01943765,-0.01185214
-40,-0.1000441,-0.01128687,0.1017382,0.02278151,-0.001315937,-0.006455233
-36,-0.04155367,-0.01294446,0.067671,0.001532595,0.008013668,-0.03867447
-32,0.007148813,-0.01916252,0.01377095,-0.004529737,0.010378,-0.0818822
-28,0.04829532,-0.02473808,-0.04897203,0.008859874,0.01381054,-0.1012386
-24,0.09065527,-0.02451018,-0.1041781,0.03520859,0.02423503,-0.08048266
-20,0.1365914,-0.01932625,-0.1447603,0.05730303,0.03890165,-0.03169418
-16,0.179902,-0.01475924,-0.1790334,0.05573844,0.04930867,0.01974627
-12,0.2150433,-0.0132128,-0.2213515,0.02290033,0.05131512,0.05898586
-8,0.2445952,-0.008536858,-0.2760558,-0.02938346,0.05148027,0.0909989
-4,0.2739953,0.009155243,-0.3305979,-0.07787249,0.06152128,0.128179
0,0.298572,0.04184531,-0.364957,-0.106623,0.08523808,0.1711062
4,0.2994539,0.07751452,-0.368659,-0.1192678,0.111268,0.2033622
8,0.2576473,0.09807542,-0.3494709,-0.132148,0.1203911,0.2060149
12,0.1757161,0.09565431,-0.3260328,-0.1544038,0.101893,0.1768591
16,0.08541651,0.08165856,-0.3118388,-0.1755691,0.06415129,0.1348726
20,0.03080336,0.07884916,-0.3052548,-0.17426,0.02991192,0.1059941
24,0.03970724,0.1033674,-0.2933325,-0.1388992,0.02128509,0.1053415
28,0.1081792,0.1542154,-0.2638159,-0.07755566,0.04837229,0.1333234
32,0.2101133,0.2202669,-0.2133002,-0.005209812,0.1099836,0.1868039
36,0.3203248,0.2963166,-0.1454002,0.07760435,0.2016903,0.2695356
40,0.4281335,0.3893416,-0.06387352,0.1887601,0.3198015,0.3870796
44,0.5310218,0.5059191,0.0297463,0.3417688,0.4564332,0.5296193
48,0.6201979,0.6326678,0.1306202,0.5165063,0.5927435,0.6619608
52,0.6773586,0.7319187,0.2237806,0.6548892,0.7011017,0.7360468
56,0.6872495,0.7623006,0.2856984,0.6920952,0.7581134,0.7204464
60,0.6514651,0.709372,0.2965177,0.6001424,0.7584337,0.6239336
64,0.5870841,0.5991595,0.2543632,0.4076117,0.7170868,0.4935007
68,0.5110208,0.4809096,0.179348,0.1800414,0.6581635,0.3878115
72,0.4275466,0.3928282,0.1023027,-0.02075243,0.5999064,0.3458459
76,0.3331177,0.3399056,0.04571405,-0.1653852,0.5481814,0.3713777
80,0.2326695,0.3012949,0.0111735,-0.2564405,0.5009294,0.4389293
84,0.1472164,0.2572551,-0.01725615,-0.3095806,0.4557847,0.5114738
88,0.1006642,0.2086777,-0.05711971,-0.3388524,0.4121554,0.5565889
92,0.09642948,0.1714543,-0.1125859,-0.3563246,0.3673544,0.5548991
96,0.1074121,0.1535865,-0.1728801,-0.3770964,0.313805,0.502497
100,0.09148362,0.1396032,-0.2250441,-0.4167478,0.2427048,0.4102443
104,0.02006768,0.09886786,-0.2693187,-0.4813061,0.1513056,0.2996259
108,-0.1051309,0.01051338,-0.3226044,-0.561896,0.04598856,0.1941544
112,-0.2600593,-0.1182519,-0.4053393,-0.6421918,-0.06258933,0.1091526
116,-0.4199622,-0.2569089,-0.5218471,-0.7117852,-0.1674161,0.04607959
120,-0.572758,-0.3740725,-0.6509832,-0.7711349,-0.267848,-0.004679895
124,-0.7139161,-0.4570446,-0.7562015,-0.8232477,-0.364562,-0.0551465
128,-0.8333163,-0.5130232,-0.8081886,-0.8628995,-0.4526972,-0.1121529
132,-0.9122085,-0.5550389,-0.8026019,-0.8774263,-0.521165,-0.1757267
136,-0.9359785,-0.5886506,-0.7594923,-0.859501,-0.5595098,-0.242336
140,-0.9101846,-0.6112761,-0.7065442,-0.8175508,-0.5657196,-0.3081205
144,-0.8625633,-0.6211195,-0.661457,-0.7712441,-0.5475168,-0.3689757
148,-0.8268493,-0.6232396,-0.6277228,-0.736221,-0.5164508,-0.4189931
152,-0.8213941,-0.6253049,-0.6043097,-0.7145643,-0.4809163,-0.4510906
156,-0.8398874,-0.6282371,-0.5966995,-0.7007118,-0.4439785,-0.4613554
160,-0.8599444,-0.6230481,-0.6166479,-0.6940773,-0.4058115,-0.4542153
164,-0.8602233,-0.5985134,-0.6704165,-0.7011496,-0.3661041,-0.4434862
168,-0.8319561,-0.5524365,-0.7474023,-0.7224048,-0.3236907,-0.446649
172,-0.7785493,-0.4949841,-0.8212083,-0.739601,-0.2756645,-0.4746514
176,-0.7079622,-0.4403868,-0.8636717,-0.7224335,-0.2195236,-0.5234409
180,-0.6266662,-0.395051,-0.8608279,-0.6535529,-0.1575842,-0.5734692
184,-0.5393589,-0.3536983,-0.8189615,-0.5486478,-0.09849777,-0.5990447
188,-0.4517145,-0.3070553,-0.7582895,-0.4494225,-0.05248169,-0.5828787
192,-0.3712221,-0.2532333,-0.7014155,-0.3930098,-0.02375593,-0.5266851
196,-0.3045431,-0.201578,-0.6649274,-0.3853959,-0.007837178,-0.4502026
200,-0.2543331,-0.1653873,-0.6564453,-0.4029393,0.002854537,-0.3786868
204,-0.219495,-0.1506261,-0.6741014,-0.4180254,0.0105059,-0.3276251
208,-0.1995645,-0.1511913,-0.7062858,-0.4217123,0.009844959,-0.2959281
212,-0.1994147,-0.1546291,-0.7337306,-0.4221202,-0.004381788,-0.2721637
216,-0.2287403,-0.152438,-0.736751,-0.4249414,-0.02771462,-0.2475358
220,-0.2939806,-0.1455264,-0.705561,-0.4211903,-0.04491573,-0.2237498
224,-0.3870212,-0.1407408,-0.6463969,-0.3971187,-0.04041805,-0.2090209
228,-0.4802854,-0.1428199,-0.577534,-0.3544699,-0.01138494,-0.2068167
232,-0.5361778,-0.1496336,-0.5172591,-0.3163826,0.0289457,-0.2088764
236,-0.5288811,-0.1545413,-0.4730293,-0.3096968,0.06126215,-0.1999342
240,-0.4645167,-0.1527472,-0.4400925,-0.3407748,0.07482143,-0.1703181
244,-0.382466,-0.1453725,-0.4093762,-0.3897899,0.07405909,-0.1250073
248,-0.3321669,-0.1379652,-0.3766382,-0.429115,0.07242595,-0.08088321
252,-0.3392408,-0.1356564,-0.3449836,-0.446391,0.08033063,-0.05454176
256,-0.3863475,-0.1396819,-0.3200203,-0.449311,0.0981108,-0.05113705
260,-0.4255237,-0.1478022,-0.3035776,-0.4499983,0.1186105,-0.06322516
264,-0.4143825,-0.1571702,-0.2919032,-0.4483712,0.1347241,-0.07954699
268,-0.3483385,-0.1664185,-0.2788681,-0.4328614,0.1442205,-0.09555133
272,-0.2633618,-0.1753693,-0.2602543,-0.395906,0.1488112,-0.1168403
276,-0.2079028,-0.183505,-0.2356866,-0.3451115,0.1506002,-0.1531163
280,-0.2079183,-0.1892076,-0.2081964,-0.2970511,0.1503703,-0.2077352
284,-0.2530761,-0.1903316,-0.1831632,-0.2613445,0.1485364,-0.2710239
288,-0.3121025,-0.185049,-0.1671094,-0.2340235,0.1461876,-0.3227238
292,-0.3599325,-0.1720619,-0.1654476,-0.2082211,0.1443202,-0.3427075
296,-0.3918182,-0.1506872,-0.1793775,-0.1894068,0.1424349,-0.3232979
300,-0.4153101,-0.1217731,-0.2043059,-0.1960739,0.1387767,-0.2745568
304,-0.4334169,-0.08903868,-0.2318293,-0.2427372,0.1322472,-0.2177551
308,-0.4389742,-0.05888785,-0.2539195,-0.3224487,0.1235445,-0.170538
312,-0.4258437,-0.03739356,-0.26536,-0.4080192,0.1137667,-0.1346098
316,-0.4032198,-0.02604666,-0.2623984,-0.4721926,0.1018957,-0.09639316
320,-0.3953259,-0.02008791,-0.2403825,-0.5074908,0.08430597,-0.04127223
324,-0.4238764,-0.01178736,-0.1950766,-0.5271701,0.05741198,0.03030157
328,-0.488919,0.003407758,-0.1282076,-0.5483398,0.02102679,0.0998743
332,-0.5661921,0.02312309,-0.05162417,-0.5754139,-0.02089665,0.1454283
336,-0.6235944,0.04037262,0.01620289,-0.5993704,-0.06267723,0.160738
340,-0.6417953,0.05018984,0.06054433,-0.6102837,-0.09980317,0.1606862
344,-0.6217905,0.05460647,0.07896268,-0.6074159,-0.129692,0.1655404
348,-0.5762534,0.06129117,0.07973945,-0.5964175,-0.1506937,0.1779674
352,-0.5165317,0.07693578,0.0713126,-0.5792602,-0.1618473,0.1758849
356,-0.4482821,0.1012669,0.05303755,-0.5503141,-0.1644813,0.1310297
360,-0.376814,0.12686,0.01656001,-0.5034706,-0.1635466,0.03816358
364,-0.3123287,0.1445183,-0.04363891,-0.4415399,-0.1658151,-0.0727492
368,-0.2668033,0.1491396,-0.1213887,-0.3766449,-0.1752717,-0.1553509
372,-0.2452143,0.1412902,-0.2007774,-0.3212301,-0.1897334,-0.1821061
376,-0.2411257,0.1243469,-0.2670305,-0.2800161,-0.2024334,-0.1650735
380,-0.2422949,0.1010652,-0.315822,-0.2510544,-0.2077409,-0.1436324
384,-0.2411615,0.0730027,-0.3529985,-0.2323337,-0.2059614,-0.1502747
388,-0.240002,0.04243091,-0.3869222,-0.2239932,-0.2028049,-0.1848236
392,-0.2464515,0.01358265,-0.4222279,-0.2230118,-0.2041071,-0.2183667
396,-0.2650549,-0.008834222,-0.4601843,-0.2184992,-0.2106481,-0.2202966
400,-0.2936702,-0.02256021,-0.5022323,-0.196693,-0.2173901,-0.1824154
404,-0.327166,-0.02907598,-0.5500336,-0.153151,-0.217161,-0.120619
408,-0.3627135,-0.03187365,-0.6008905,-0.09903231,-0.2053259,-0.05793936
