times,mu_N1_er_low,mu_N1_er_mid,mu_N1_er_high,mu_N1_RE_low,mu_N1_RE_mid,mu_N1_RE_high
-100,0.1510424,0.009951156,-0.1045789,0.008515435,-0.005879269,0.02958314
-96,0.1934872,0.01750972,-0.1151383,0.01932679,-0.004364946,0.05227342
-92,0.2083009,0.02365763,-0.0725632,0.04084111,0.003306325,0.08007047
-88,0.203051,0.02310375,0.01637589,0.06889465,0.01445586,0.1064587
-84,0.1815037,0.01272925,0.1158313,0.08740343,0.02125705,0.1194228
-80,0.1428548,-0.004301344,0.181146,0.08028948,0.01647777,0.1070481
-76,0.09303392,-0.01928385,0.1884297,0.04810362,-0.0007166839,0.06605414
-72,0.0435228,-0.02415516,0.1523291,0.01102026,-0.02440598,0.005372634
-68,-0.001778886,-0.01795298,0.1136804,-0.007000075,-0.04663264,-0.05812742
-64,-0.0533185,-0.007385088,0.1054253,0.001096161,-0.06208241,-0.1074166
-60,-0.1247225,-0.0005679974,0.1267136,0.01978561,-0.06875541,-0.1305348
-56,-0.2129957,0.0002575984,0.1477683,0.02605838,-0.06589174,-0.121922
-52,-0.2917019,-0.0001060841,0.1391763,0.01045453,-0.05335259,-0.0832162
-48,-0.3278752,0.004114994,0.09718907,-0.01649139,-0.03376488,-0.02553269
-44,-0.3088734,0.01278932,0.04240054,-0.03749801,-0.01383806,0.0303376
-40,-0.2528902,0.01962701,-0.003811134,-0.046119,-0.000982546,0.06104905
-36,-0.1915159,0.01890495,-0.03960682,-0.04971197,0.003067198,0.05395163
-32,-0.141056,0.01175874,-0.07953331,-0.05597883,0.004846734,0.01671931
-28,-0.09162427,0.004842386,-0.1327605,-0.0602021,0.0135983,-0.02662855
-24,-0.02502918,0.002600889,-0.1865138,-0.04974672,0.03183515,-0.05232676
-20,0.05800677,0.002006596,-0.2125176,-0.0223555,0.05188274,-0.05271555
-16,0.1313651,-0.003501878,-0.1905036,0.002798293,0.06329694,-0.03753848
-12,0.1662172,-0.0144736,-0.1259917,-0.002987791,0.06448254,-0.0203561
-8,0.1594977,-0.02127443,-0.04603202,-0.05173542,0.06602727,-0.004118574
-4,0.1370386,-0.01172999,0.02162305,-0.124303,0.08066415,0.01966989
0,0.126201,0.01572496,0.06601276,-0.1839998,0.1087625,0.05812481
4,0.1258953,0.04715673,0.09343757,-0.2070732,0.1342613,0.1047764
8,0.1065332,0.0634298,0.1153348,-0.2014487,0.1367593,0.1416104
12,0.04232045,0.05738467,0.1382703,-0.1960384,0.1095735,0.1540557
16,-0.05593004,0.04160048,0.1641333,-0.2117067,0.06713875,0.1442127
20,-0.1414116,0.03880341,0.1952324,-0.2419343,0.03511593,0.1297143
24,-0.166265,0.06396129,0.2349314,-0.2595462,0.03303927,0.1305465
28,-0.1174773,0.1153681,0.2830594,-0.239353,0.06547616,0.1577278
32,-0.02029799,0.1825826,0.3343133,-0.1732715,0.1275838,0.2138739
36,0.09046971,0.2613029,0.3849173,-0.06669224,0.2157096,0.3012815
40,0.1988629,0.3576827,0.4409094,0.07296479,0.3294862,0.4245203
44,0.3066017,0.4757513,0.5158036,0.2377312,0.4628406,0.5812837
48,0.4075727,0.6005586,0.615214,0.4081404,0.5951838,0.7500762
52,0.4710213,0.6965795,0.7221695,0.5460869,0.6955055,0.8898894
56,0.4574455,0.7275259,0.8005764,0.6071132,0.7392798,0.9576027
60,0.3548235,0.6824696,0.8185855,0.5670692,0.7243065,0.932461
64,0.1981715,0.5852011,0.7729097,0.4402062,0.6713393,0.8294971
68,0.04943576,0.4777301,0.6913782,0.2710689,0.6089872,0.6919729
72,-0.04632218,0.3918059,0.6101183,0.1063791,0.5561346,0.5688223
76,-0.08864985,0.3324513,0.5458052,-0.0287586,0.5156103,0.4926369
80,-0.1092931,0.2853864,0.4882452,-0.1320706,0.4807654,0.4702797
84,-0.1346417,0.2379877,0.4187075,-0.2079578,0.4450788,0.4872893
88,-0.1611055,0.1923401,0.3344959,-0.2549715,0.4051059,0.5190357
92,-0.1665192,0.1588359,0.2550088,-0.2702138,0.3569458,0.5410187
96,-0.143757,0.1389078,0.2037428,-0.262768,0.2940371,0.5349755
100,-0.1210975,0.11593,0.1845597,-0.2575281,0.2112591,0.4912538
104,-0.1479129,0.06461711,0.1753885,-0.2817452,0.11127,0.4090275
108,-0.2581553,-0.02913602,0.1446855,-0.346245,0.004947356,0.2954484
112,-0.4442352,-0.1559819,0.07446984,-0.4396408,-0.09622842,0.1641876
116,-0.6626974,-0.2889846,-0.03034952,-0.5403959,-0.188691,0.03311415
120,-0.8640702,-0.4015386,-0.1512844,-0.6336087,-0.2771796,-0.07970405
124,-1.020571,-0.4816582,-0.2715577,-0.7163465,-0.3661649,-0.1617298
128,-1.131839,-0.5325286,-0.382237,-0.7893609,-0.451082,-0.2110718
132,-1.210501,-0.5628959,-0.4768893,-0.84758,-0.5186949,-0.2369226
136,-1.264786,-0.5787627,-0.5452973,-0.88112,-0.5566563,-0.2533041
140,-1.293052,-0.5833617,-0.5763215,-0.8850343,-0.5630181,-0.2695228
144,-1.291241,-0.5818517,-0.5682458,-0.8659908,-0.5468124,-0.2845786
148,-1.263246,-0.5822593,-0.5355076,-0.8382949,-0.5201069,-0.290247
152,-1.224053,-0.5896301,-0.5033931,-0.8138961,-0.4900239,-0.2799509
156,-1.192941,-0.5994874,-0.4934721,-0.7966082,-0.4577835,-0.2551316
160,-1.181529,-0.5990539,-0.510786,-0.7842367,-0.4233352,-0.2235299
164,-1.184623,-0.5772638,-0.5419407,-0.7726963,-0.3885244,-0.1921399
168,-1.180497,-0.5349633,-0.5643276,-0.7557001,-0.3549509,-0.1627469
172,-1.142173,-0.4851996,-0.5592377,-0.7223203,-0.3202282,-0.134268
176,-1.054215,-0.4423981,-0.5208241,-0.6601449,-0.2789252,-0.1077573
180,-0.9243814,-0.4101152,-0.4571103,-0.5654616,-0.228803,-0.08665212
184,-0.7809417,-0.3790042,-0.3841196,-0.4511867,-0.1757703,-0.07090316
188,-0.6558326,-0.3372497,-0.3171497,-0.3423229,-0.1311394,-0.05232358
192,-0.5652221,-0.2838012,-0.2640388,-0.2607753,-0.1027916,-0.019105
196,-0.502408,-0.2317955,-0.2240883,-0.2132712,-0.08898347,0.03219843
200,-0.4487131,-0.1985779,-0.1928572,-0.1933718,-0.08139569,0.08880978
204,-0.393021,-0.1912639,-0.1686583,-0.1931162,-0.07435301,0.1279221
208,-0.3431461,-0.200943,-0.1548749,-0.2093389,-0.07028652,0.1337199
212,-0.3195706,-0.2105649,-0.1557635,-0.2371219,-0.07526664,0.1104988
216,-0.3377118,-0.2089885,-0.1697531,-0.2603323,-0.08921226,0.07972686
220,-0.3944247,-0.1984475,-0.1871744,-0.2556336,-0.1016648,0.06371707
224,-0.4694458,-0.1894327,-0.1952821,-0.2120166,-0.098735,0.0710274
228,-0.5385812,-0.188905,-0.1861701,-0.1475609,-0.07520099,0.0958275
232,-0.5862457,-0.1934519,-0.1604683,-0.1027917,-0.0399202,0.1283978
236,-0.6082653,-0.1934466,-0.1245044,-0.1114218,-0.008911316,0.1637352
240,-0.6065523,-0.1833569,-0.08537637,-0.173439,0.007591552,0.200495
244,-0.5838577,-0.1677818,-0.04931832,-0.2559907,0.01219132,0.2354752
248,-0.5437669,-0.1575603,-0.02307332,-0.3217026,0.01570802,0.2637944
252,-0.4934309,-0.1601213,-0.01319159,-0.3576508,0.02640959,0.2860848
256,-0.443182,-0.1733561,-0.02100634,-0.3785333,0.04362594,0.3124326
260,-0.4014737,-0.1882071,-0.03858579,-0.4041558,0.06068465,0.353805
264,-0.3698636,-0.1966367,-0.05310361,-0.4363029,0.07255828,0.4063323
268,-0.3434563,-0.1972159,-0.05885605,-0.4581279,0.07993244,0.4458317
272,-0.3165871,-0.1940154,-0.06551607,-0.4538396,0.08640629,0.4435015
276,-0.2880811,-0.1914148,-0.0913732,-0.4255432,0.09306595,0.3924237
280,-0.2611883,-0.1905895,-0.1441965,-0.3893538,0.09677316,0.3200954
284,-0.2392167,-0.1902653,-0.2069426,-0.3569557,0.09371941,0.2717221
288,-0.2223074,-0.1892298,-0.2443658,-0.3245836,0.08396308,0.2755389
292,-0.2089733,-0.1869023,-0.2282287,-0.2820024,0.0720508,0.3194458
296,-0.2002555,-0.1817346,-0.1601384,-0.2304589,0.06339557,0.3593589
300,-0.2011753,-0.1706123,-0.07118998,-0.187854,0.06034764,0.3519093
304,-0.2170445,-0.151374,0.001781624,-0.1737353,0.06148272,0.2839537
308,-0.2479198,-0.1262096,0.04191611,-0.1898457,0.06376857,0.1769712
312,-0.2868938,-0.1014692,0.05744613,-0.2179651,0.06461696,0.06805801
316,-0.3244319,-0.08267221,0.06416313,-0.2386494,0.06195493,-0.01303344
320,-0.3551068,-0.06912888,0.06485714,-0.2516941,0.05335921,-0.05430379
324,-0.3806525,-0.05408257,0.04684973,-0.2765153,0.03633351,-0.05880485
