times,mu_N1_er_low,mu_N1_er_mid,mu_N1_er_high,mu_N1_RE_low,mu_N1_RE_mid,mu_N1_RE_high
-100,0.1594869,0.005874838,-0.07612263,0.09182564,-0.004169476,-0.06776386
-96,0.1956279,0.01380712,-0.08240579,0.1263436,-0.0008550948,-0.08323284
-92,0.1903341,0.02319738,-0.04584575,0.1564118,0.008475795,-0.07717513
-88,0.1564629,0.02858728,0.0231086,0.1791535,0.02031504,-0.05077263
-84,0.1118608,0.02548756,0.0859668,0.1779523,0.02656645,-0.01343311
-80,0.0660015,0.01510741,0.1038668,0.1386938,0.02007224,0.02025975
-76,0.02176625,0.004637798,0.06840161,0.0721195,4.704577e-05,0.03638056
-72,-0.02153798,0.001953402,0.00794543,0.01010108,-0.02730112,0.0299266
-68,-0.06772531,0.008972125,-0.03695839,-0.02252683,-0.05295675,0.008578525
-64,-0.1215154,0.01981475,-0.04627217,-0.03145757,-0.0699209,-0.01127138
-60,-0.1822829,0.02589559,-0.03158733,-0.04663572,-0.07496125,-0.01318103
-56,-0.2384114,0.02339798,-0.01829081,-0.09088956,-0.06767905,0.01090086
-52,-0.2699994,0.0159547,-0.01902952,-0.1544337,-0.04993997,0.05594135
-48,-0.2615608,0.009991587,-0.02454735,-0.2016422,-0.02676845,0.1049073
-44,-0.2155373,0.007762023,-0.01817565,-0.2042348,-0.00612704,0.1361904
-40,-0.1534586,0.005565534,0.003506551,-0.167605,0.005032578,0.1347844
-36,-0.1010401,-0.001032378,0.02548399,-0.123496,0.006431096,0.1008358
-32,-0.06886866,-0.01107858,0.02873453,-0.0969274,0.005871148,0.04915104
-28,-0.04599034,-0.01860715,0.008772913,-0.08230204,0.01303838,-0.0007036033
-24,-0.01248648,-0.01962686,-0.01952287,-0.05408157,0.0302348,-0.03611104
-20,0.04087906,-0.01773412,-0.0336119,-0.0005756158,0.04936543,-0.05540418
-16,0.1045602,-0.02093109,-0.01902785,0.05602439,0.05955624,-0.06192537
-12,0.1604057,-0.0318446,0.02409222,0.07673397,0.05878745,-0.05577241
-8,0.1982319,-0.04199966,0.08526299,0.04430902,0.05739981,-0.03290908
-4,0.2209975,-0.03798759,0.1505305,-0.01615159,0.06838393,0.007152136
0,0.2339486,-0.01496704,0.2055695,-0.05689525,0.09294145,0.05408849
4,0.2312953,0.01618526,0.2369568,-0.04931277,0.1159374,0.08952609
8,0.197458,0.03692608,0.2367658,-0.007395276,0.1172823,0.09918229
12,0.1243562,0.03805613,0.2095779,0.0288208,0.08979426,0.08344966
16,0.02775151,0.02945362,0.1740353,0.03171725,0.04721595,0.05640478
20,-0.05572698,0.03258916,0.1534583,0.008972277,0.01514305,0.03483231
24,-0.09110133,0.06291984,0.161047,-0.007402756,0.01374815,0.028807
28,-0.06780647,0.1195697,0.1927349,0.01077652,0.04807756,0.04270811
32,-0.002519372,0.1919982,0.2350378,0.07234178,0.1127107,0.08317381
36,0.07910811,0.2751203,0.2806137,0.1738541,0.2025459,0.1621515
40,0.1629523,0.374776,0.3356985,0.3118946,0.3162049,0.2882343
44,0.2494051,0.4955075,0.4108772,0.4802502,0.4481803,0.4528026
48,0.3380734,0.6226746,0.5035018,0.65483,0.5796401,0.6249322
52,0.4124902,0.7198064,0.5897365,0.7893054,0.6807423,0.7624356
56,0.4429864,0.7490289,0.6362562,0.8362949,0.7260452,0.8322385
60,0.4071987,0.6992401,0.6231837,0.780036,0.7107815,0.8254789
64,0.3095118,0.5966892,0.5588159,0.6496199,0.653726,0.7580431
68,0.1809381,0.4870039,0.473622,0.4979326,0.5842007,0.6592719
72,0.05892975,0.4035134,0.3989471,0.364893,0.5244237,0.5585468
76,-0.03538332,0.3490533,0.3480084,0.2586282,0.4808415,0.4768191
80,-0.1039223,0.3052701,0.3129017,0.1684739,0.4481233,0.4235205
84,-0.1595244,0.257601,0.2766057,0.09059796,0.4181506,0.3964297
88,-0.2090746,0.2105515,0.2276282,0.03623221,0.3846313,0.383909
92,-0.2485272,0.1792224,0.1659815,0.01464274,0.3417618,0.3703295
