"","loQ","hiQ","lang_main","load_main","langXload","P_mixed","effSizeN1er","effSizeN1RE","effSizeP1er","effSizeP1RE"
"1",0,0,0,0,0,0,0,0,0,0
"2",0.05,0.05,0.542653078290987,0.270644893391101,0.472929754781051,0,-0.651432332574272,-0.0400717274835588,-0.366284502874083,0.296277124779749
"3",0.05,0.15,0.0644632479451893,0.366858215625801,0.143188613803549,0,-0.679518189608522,-0.0430682350926052,-0.382327712526247,0.288343879743674
"4",0.15,0.15,0.168310284392067,0.353705023645327,0.0526010825386954,0,-0.404732889551776,-0.0333303101921676,-0.229244175522574,0.0460669439699718
"5",0.05,0.25,0.0632662835749285,0.352345192939893,0.123027078229362,0,-0.714758536401031,-0.036193186274971,-0.3935679976643,0.309588198053612
"6",0.15,0.25,0.119747155106753,0.583729734136075,0.267450768639877,0,-0.439973236344286,-0.0264552613745335,-0.240484460660627,0.0673112622799099
"7",0.25,0.25,0.206364809753878,0.410092725039886,0.0417746632393802,0,-0.383833893788441,0.00747348974178957,-0.182550066847077,0.112554197648075
"8",0.05,0.35,0.101193365230575,0.326298201638164,0.118754670096821,0,-0.665184675038221,-0.0387854710161977,-0.362197570945369,0.311782738722129
"9",0.15,0.35,0.182256383112609,0.395350956675418,0.157507865129787,0,-0.390399374981476,-0.0290475461157601,-0.209114033941696,0.069505802948427
"10",0.25,0.35,0.687851004168557,0.30997879823908,0.0735925696060721,0,-0.334260032425631,0.00488120500056294,-0.151179640128145,0.114748738316592
"11",0.35,0.35,0.419344628505899,0.807104338934324,0.17395167010518,0,-0.132611385888832,-0.00206299948125821,-0.040820431844158,0.0866969218629605
"12",0.05,0.45,0.10217189415046,0.317728660585527,0.116264259605611,0,-0.653869036131052,-0.0018627212721688,-0.317060890613676,0.318267349788077
"13",0.15,0.45,0.176337445156492,0.39171762622502,0.195254270403914,0,-0.379083736074306,0.00787520362826877,-0.163977353610004,0.075990414014375
"14",0.25,0.45,0.306608412468747,0.313422601147457,0.157026349131403,0,-0.322944393518461,0.0418039547445918,-0.106042959796453,0.12123334938254
"15",0.35,0.45,0.391012252180955,0.696137461129517,0.649556793007924,0,-0.121295746981662,0.0348597502627707,0.00431624848753409,0.0931815329289085
"16",0.45,0.45,0.451117782070836,0.969733889762981,0.154763379812906,0,-0.0780710696353388,0.0804117407302625,0.0685244623092841,0.08183516923545
"17",0.05,0.55,0.108871651050315,0.318857007149432,0.114720293673876,0,-0.692546326617914,-0.0438420281221754,-0.33653141382399,0.273613621214884
"18",0.15,0.55,0.170675862741787,0.428968032759797,0.171173055440626,0,-0.417761026561169,-0.0341041032217378,-0.183447876820318,0.0313366854411824
"19",0.25,0.55,0.244807158225474,0.474178446692365,0.128836513191459,0,-0.361621684005324,-0.000175352105414806,-0.125513483006767,0.0765796208093473
"20",0.35,0.55,0.400212811467245,0.896769240406462,0.579330667181768,0,-0.159973037468525,-0.00711955658723595,-0.0151542747227799,0.0485278043557159
"21",0.45,0.55,0.547529000922317,0.544005597899823,0.662138503766535,0,-0.116748360122201,0.0384324338802559,0.0490539390989702,0.0371814406622574
"22",0.55,0.55,0.509606556164353,0.793982658606895,0.182698372663537,0,-0.134184051870437,-0.0105057101295684,0.0206657812833915,-0.0142026939236578
"23",0.05,0.65,0.109607135591583,0.324982594140935,0.118751509889492,0,-0.651709458254122,-0.0350164046868486,-0.386256435612986,0.128139406120654
"24",0.15,0.65,0.160757737999187,0.421391935667273,0.160203934565291,0,-0.376924158197376,-0.0252784797864111,-0.233172898609313,-0.114137529653048
"25",0.25,0.65,0.224160403037839,0.468241748546062,0.129104033715521,0,-0.320784815641531,0.00865027132991197,-0.175238504795763,-0.0688945942848826
"26",0.35,0.65,0.390906170472957,0.892355749902359,0.515851690881753,0,-0.119136169104732,0.00170606684809083,-0.0648792965117755,-0.0969464107385141
