subj,txt_no,lang,CWred,CWnored,SYL,CLred,CLnored,mu_stat
KOZ,1,RE,1,1,2,0,0,-1.845112
KOZ,1,RE,3,3,5,0.11117,0.11117,-6.168144
KOZ,1,RE,3,3,5,0.23023,0.23023,-7.188663
KOZ,1,RE,2,2,3,0.11962,0.11962,-6.11324
KOZ,1,RE,1,1,6,0.37306,0.37306,-23.56124
KOZ,1,RE,2,2,12,0.56963,0.56963,-8.217862
KOZ,1,RE,2,2,8,0.20411,0.20411,5.541819
KOZ,1,RE,3,3,13,0.5182,0.5182,0.6017227
KOZ,1,RE,1,1,4,0.28601,0.28601,-18.79985
KOZ,1,RE,1,1,4,0.28601,0.28601,-5.607081
KOZ,1,RE,1,1,5,0.30446,0.30446,-5.436346
KOZ,1,RE,2,2,9,0.78239,0.78239,-5.738099
KOZ,1,RE,1,2,5,0.54148,0.47793,10.80945
KOZ,1,RE,1,2,5,0.54148,0.47793,-3.998284
KOZ,1,RE,2,3,8,0.42131,0.35776,-7.394387
KOZ,1,RE,2,3,8,0.42131,0.35776,-21.95127
KOZ,1,RE,2,2,8,0.33697,0.33697,7.772693
KOZ,1,RE,2,2,8,0.33697,0.33697,-5.973035
KOZ,1,RE,2,2,5,0.23562,0.23562,0.193001
KOZ,1,RE,3,3,7,0.39555,0.39555,-4.103589
KOZ,1,RE,3,3,9,0.41266,0.41266,12.52734
KOZ,1,RE,2,3,7,0.38946,0.23562,9.508986
KOZ,1,RE,2,3,8,0.3508,0.19696,20.32137
KOZ,1,RE,1,2,6,0.27511,0.12127,-1.549502
KOZ,1,RE,2,3,12,0.47269,0.31885,0.2124308
KOZ,1,RE,1,1,6,0.19758,0.19758,-13.71802
KOZ,1,RE,1,1,6,0.32003,0.32003,-2.967903
KOZ,1,RE,2,2,12,0.48868,0.48868,-32.09464
KOZ,1,RE,3,3,14,0.60371,0.60371,-5.726494
KOZ,1,RE,2,2,8,0.28368,0.28368,-4.476178
KOZ,1,RE,2,2,8,0.29761,0.29761,17.59343
KOZ,1,RE,1,1,6,0.18259,0.18259,4.768107
KOZ,1,RE,0,0,0,0,0,-4.709166
KOZ,1,RE,0,0,0,0,0,-4.823803
KOZ,1,RE,1,1,3,0.46357,0.46357,-5.050601
KOZ,1,RE,2,2,6,0.60646,0.60646,-15.65518
KOZ,1,RE,3,3,7,0.77039,0.77039,-10.54155
KOZ,1,RE,3,3,5,0.42184,0.42184,3.668864
KOZ,1,RE,3,3,7,0.63612,0.63612,1.71913
KOZ,1,RE,2,3,10,0.74993,0.47219,-3.105054
KOZ,1,RE,2,4,10,0.68374,0.22386,-11.12917
KOZ,1,RE,1,3,9,0.56872,0.10883,-14.55282
KOZ,1,RE,2,4,15,0.91158,0.45169,-3.640243
KOZ,1,RE,1,2,9,0.52501,0.34286,1.730694
KOZ,1,RE,1,2,9,0.52501,0.34286,-9.953473
KOZ,1,RE,2,2,8,0.40805,0.40805,-3.464273
KOZ,1,RE,3,3,10,0.47276,0.47276,1.777082
KOZ,1,RE,3,3,10,0.47276,0.47276,11.38022
KOZ,1,RE,2,3,8,0.3382,0.12941,-0.2544409
KOZ,1,RE,2,3,8,0.3382,0.12941,5.253057
KOZ,1,RE,2,3,8,0.3382,0.12941,13.14054
KOZ,1,RE,1,2,8,0.29794,0.089145,-25.51414
KOZ,1,RE,2,3,13,0.79938,0.59059,1.718626
KOZ,1,RE,3,4,16,1.0514,0.84265,4.309314
KOZ,1,RE,2,2,8,0.7535,0.7535,-25.85139
KOZ,1,RE,4,4,11,1.1039,1.1039,-11.01478
KOZ,1,RE,3,3,6,0.37551,0.37551,3.323196
KOZ,1,RE,2,2,6,0.23385,0.23385,10.97547
KOZ,1,RE,1,2,5,0.27934,0.20879,-5.292307
KOZ,1,RE,2,3,10,0.61861,0.54806,-15.31432
KOZ,1,RE,1,2,7,0.40982,0.33927,1.254643
KOZ,1,RE,2,3,11,0.61828,0.54773,-15.96889
KOZ,1,RE,2,2,7,0.42873,0.42873,0.01115903
KOZ,1,RE,1,1,3,0.22027,0.22027,-2.06265
KOZ,1,RE,3,3,9,0.40819,0.40819,-20.40157
KOZ,1,RE,3,4,11,0.5605,0.39048,-17.49019
KOZ,1,RE,2,3,8,0.55583,0.38582,-18.40245
KOZ,1,RE,1,1,3,0.18326,0.18326,-3.31021
KOZ,1,RE,2,2,8,0.50365,0.50365,3.636599
KOZ,1,RE,3,3,11,0.67659,0.67659,-11.70748
KOZ,1,RE,4,4,12,0.80628,0.80628,1.647722
KOZ,1,RE,4,4,8,0.59771,0.59771,-1.45543
KOZ,1,RE,3,3,5,0.42069,0.42069,-3.998934
KOZ,1,RE,3,3,8,0.41571,0.41571,0.6863402
KOZ,1,RE,3,3,8,0.41571,0.41571,-0.642275
KOZ,1,RE,3,3,12,0.40729,0.40729,15.96589
KOZ,1,RE,3,3,12,0.32383,0.32383,7.429127
KOZ,1,RE,3,3,9,0.2354,0.2354,5.769038
KOZ,1,RE,4,4,12,0.44128,0.44128,16.85115
KOZ,1,RE,2,3,6,0.43822,0.36981,-2.627572
KOZ,1,RE,3,4,8,0.73246,0.66405,-17.44186
KOZ,1,RE,2,2,4,0.4004,0.4004,-15.30879
KOZ,1,RE,4,4,8,0.83488,0.83488,4.811396
KOZ,1,RE,3,3,7,0.53334,0.53334,-5.461294
KOZ,1,RE,4,4,10,0.65367,0.65367,-0.8971298
KOZ,1,RE,3,3,8,0.28975,0.28975,-3.499011
KOZ,1,RE,1,1,3,0.12033,0.12033,-10.12045
KOZ,1,RE,2,2,9,0.52203,0.52203,13.88939
KOZ,1,RE,1,1,6,0.4017,0.4017,-5.443013
KOZ,1,RE,3,3,12,0.66512,0.66512,15.1544
KOZ,1,RE,3,3,9,0.26342,0.26342,-3.72962
KOZ,1,RE,1,1,3,2.2204e-16,0,-1.140885
KOZ,1,RE,2,2,10,0.40749,0.40749,-7.800272
KOZ,1,RE,1,1,7,0.40749,0.40749,11.97491
KOZ,1,RE,2,2,13,0.58855,0.58855,15.82872
KOZ,1,RE,2,2,10,0.64972,0.64972,-35.55761
KOZ,1,RE,3,3,12,0.7767,0.7767,-7.414213
KOZ,1,RE,3,3,7,0.65919,0.65919,-10.07307
KOZ,1,RE,3,3,7,0.65919,0.65919,-7.369273
KOZ,1,RE,3,3,9,0.4249,0.4249,-9.037107
KOZ,1,RE,2,2,7,0.29791,0.29791,4.936266
KOZ,1,RE,1,2,9,0.33037,0.23436,-7.669371
KOZ,1,RE,1,2,8,0.26466,0.16866,-6.589229
KOZ,1,RE,1,2,8,0.26466,0.16866,17.47451
KOZ,1,RE,1,1,3,0.12373,0.12373,-13.51484
KOZ,1,RE,0,0,0,1.1102e-16,1.1102e-16,-2.448771
KOZ,1,RE,0,0,0,1.1102e-16,1.1102e-16,5.251935
KOZ,1,RE,0,0,0,1.1102e-16,1.1102e-16,6.92993
KOZ,1,RE,1,1,2,0.039121,0.039121,17.26777
KOZ,1,RE,2,2,4,0.063527,0.063527,-22.60907
KOZ,1,RE,2,3,9,0.57697,0.2583,4.214734
KOZ,1,RE,3,4,10,0.94775,0.62908,1.722933
KOZ,1,RE,3,4,10,0.94775,0.62908,-8.791924
KOZ,1,RE,3,3,8,0.63954,0.63954,-9.091831
KOZ,1,RE,3,3,8,0.63954,0.63954,3.094051
KOZ,1,RE,3,3,9,0.95068,0.95068,1.793561
KOZ,1,RE,3,3,12,0.62751,0.62751,-10.31171
KOZ,1,RE,4,4,17,0.86032,0.86032,13.49008
KOZ,1,RE,4,4,13,0.98283,0.98283,9.718594
KOZ,1,RE,2,2,6,0.45886,0.45886,-13.47347
KOZ,1,RE,1,2,5,0.21443,0.16321,16.72051
KOZ,1,RE,2,3,8,0.34291,0.29169,-15.39
KOZ,1,RE,2,3,9,0.38854,0.33733,-16.9431
KOZ,1,RE,3,4,12,0.74142,0.6902,30.35044
KOZ,1,RE,3,3,8,0.696,0.696,-9.881037
KOZ,1,RE,3,3,10,0.65581,0.65581,-7.53985
KOZ,1,RE,2,2,7,0.30293,0.30293,-27.23881
KOZ,1,RE,2,2,11,0.61893,0.61893,-12.41241
KOZ,1,RE,2,2,11,0.61893,0.61893,23.31312
KOZ,1,RE,1,1,6,0.45028,0.45028,-12.28902
KOZ,1,RE,2,2,8,0.4894,0.4894,-14.24636
KOZ,1,RE,2,2,4,0.18133,0.18133,-7.06088
KOZ,1,RE,3,3,5,0.20968,0.20968,-17.40588
KOZ,1,RE,3,3,7,0.30757,0.30757,4.225281
KOZ,1,RE,2,2,5,0.16536,0.16536,-0.7680353
KOZ,1,RE,1,3,11,0.55608,0.13701,-20.18411
KOZ,1,RE,0,3,9,0.44347,0,1.632993
KOZ,1,RE,1,4,12,0.57807,0.13459,-17.78561
KOZ,1,RE,2,5,18,0.97382,0.53035,10.35701
KOZ,1,RE,2,5,18,0.97382,0.53035,-0.3144923
KOZ,1,RE,2,2,10,0.6915,0.6915,6.56104
KOZ,1,RE,2,3,12,0.98267,0.6915,-13.22691
KOZ,1,RE,2,4,15,1.153,0.6915,1.604683
KOZ,1,RE,2,4,13,1.0454,0.58396,-23.1392
KOZ,1,RE,2,4,13,1.0454,0.58396,21.64942
KOZ,1,RE,3,5,14,0.78623,0.32477,18.43718
KOZ,1,RE,3,5,14,0.78623,0.32477,-10.81135
KOZ,1,RE,3,3,10,0.44652,0.44652,-28.80861
KOZ,1,RE,3,3,11,0.64085,0.64085,-16.61946
KOZ,1,RE,3,3,14,0.87234,0.87234,-0.1957192
KOZ,1,RE,2,2,9,0.46238,0.46238,-3.229936
KOZ,1,RE,1,1,4,0.25984,0.25984,-10.06373
KOZ,1,RE,1,1,5,0.53341,0.53341,-8.315977
KOZ,1,RE,2,2,8,0.6546,0.6546,-11.64371
KOZ,1,RE,2,2,8,0.6546,0.6546,-2.830525
