"","subj","lang","load","N","mu_N1","sd","se","ci","resi"
"1","BUL","er","high",271,-0.478012916752768,15.8287525068856,0.96152823839239,1.89304623993058,0.127184405726533
"2","BUL","er","low",271,-0.588666141070111,18.8136871497241,1.14285010488796,2.25003074010555,-0.598408764775072
"3","BUL","er","mid",2164,-0.472769078060582,17.0704529940885,0.366958048733386,0.719627242232849,0.471224359048543
"4","BUL","RE","high",296,-0.430915468236486,17.6065181429806,1.02335808031085,2.0140077072329,0.127184405726534
"5","BUL","RE","low",297,-3.57539843084175,20.6459858516164,1.19800160731463,2.35768001481764,-0.598408764775071
"6","BUL","RE","mid",2372,-0.395661292482293,18.1289728740408,0.372233843632705,0.729937547728328,0.47122435904854
"7","ELT","er","high",271,0.426649045129151,8.57182577252484,0.520701333303236,1.02515106866188,0.132032066006029
"8","ELT","er","low",271,-1.21830608918819,9.14944939487101,0.555789469516544,1.09423220603526,0.372203847377523
"9","ELT","er","mid",2162,-0.618444416875578,8.86856544334927,0.190732864105879,0.374039039599481,-0.504235913383552
"10","ELT","RE","high",298,0.0712791648322147,9.3578550336303,0.542085987230635,1.06681629220719,0.132032066006029
"11","ELT","RE","low",298,0.392628015973154,9.53537093356878,0.552369207212293,1.08705349971891,0.372203847377524
"12","ELT","RE","mid",2381,-0.803745224139857,9.55599234529885,0.195837607798042,0.384029957371405,-0.504235913383552
"13","GRU","er","high",132,1.37097505681818,14.899049888312,1.29679584026218,2.56537150872027,0.181137044880858
"14","GRU","er","low",132,-0.474453654924243,14.688366926284,1.27845824217236,2.52909536546207,-0.244947185168062
"15","GRU","er","mid",1056,-0.0162183369299243,14.1106237730983,0.434224429719771,0.852041741869516,0.0638101402872007
"16","GRU","RE","high",131,-0.895422525572519,12.3201853762483,1.07641959420442,2.12956743321324,0.181137044880859
"17","GRU","RE","low",131,-1.70611211984733,15.1860728544945,1.32681334577219,2.62494152496129,-0.244947185168062
"18","GRU","RE","mid",1046,-0.390464833209369,14.3974525604946,0.44516377229096,0.873516685907371,0.0638101402872011
"19","KOK","er","high",224,-1.23503394013393,7.22535261620214,0.482764178365342,0.951363554066201,-0.523638842127495
"20","KOK","er","low",224,-0.363453010178571,6.12107542816872,0.408981555192999,0.805963166557652,0.507059377034643
"21","KOK","er","mid",1784,-0.618167044806614,6.54316051122875,0.154913814958047,0.303831747571405,0.0165794650928524
"22","KOK","RE","high",243,-0.447278733213992,7.52564582660808,0.482770404868662,0.950968449822983,-0.523638842127495
"23","KOK","RE","low",242,-1.06141307076446,7.78664709764049,0.500544633222558,0.986000955435092,0.507059377034643
"24","KOK","RE","mid",1944,-0.631290906298251,7.15117266077817,0.162191889643034,0.31808840889907,0.0165794650928519
"25","KOS","er","high",270,-0.544014851037037,12.3936756563849,0.754255080822738,1.48499397720375,-0.158512021471009
"26","KOS","er","low",270,-1.09921816348148,13.8647712488328,0.843783107514979,1.66125872345364,0.453694355338769
"27","KOS","er","mid",2153,-1.24297273104645,11.9576516472627,0.25770561568474,0.50537796595023,-0.295182333867761
"28","KOS","RE","high",295,-0.210555708474576,12.4945913557633,0.727463233732299,1.43169543053137,-0.158512021471009
"29","KOS","RE","low",297,-0.234889488329966,13.637141340376,0.791307199489735,1.55730105738355,0.453694355338769
"30","KOS","RE","mid",2369,-0.432520345456311,12.8807923554349,0.264642779298425,0.51895556957563,-0.295182333867761
"31","KOZ","er","high",269,-0.176117294423792,24.6582728938314,1.50344143273373,2.96005844271199,0.240544911664899
"32","KOZ","er","low",273,-1.19194505501832,24.0094915559233,1.45312053350239,2.86079304740276,0.052666495497902
"33","KOZ","er","mid",2149,-1.10823994957655,25.5234385197411,0.550580688366851,1.07972672318169,-0.293211407162801
"34","KOZ","RE","high",299,0.461975175852843,27.4455909361396,1.58721950550068,3.12357895308873,0.2405449116649
"35","KOZ","RE","low",299,-0.70190374180602,25.6283142054475,1.48212367861328,2.91675493676001,0.0526664954979019
"36","KOZ","RE","mid",2386,-0.320996698847443,28.6115699334766,0.58574213894459,1.1486164033417,-0.293211407162801
"37","POG","er","high",271,0.612495529889299,13.7321384272799,0.834168003170121,1.64230080700674,0.746367602383906
"38","POG","er","low",271,-1.65230460815498,13.4306472836336,0.815853720467489,1.60624384827903,-0.337178734299343
"39","POG","er","mid",2165,-0.925462918138568,13.7323924394456,0.295132648855999,0.578773077666311,-0.409188868084562
"40","POG","RE","high",298,0.222725226040268,14.7766616219558,0.855989024677534,1.68457229846824,0.746367602383906
"41","POG","RE","low",298,-1.48351715520134,14.4149972296751,0.835038368952359,1.64334175315527,-0.337178734299343
"42","POG","RE","mid",2378,-1.19801115906644,14.5702388036908,0.298786344335242,0.585908815226886,-0.409188868084562
"43","ROM","er","high",270,-0.908047995111111,10.3417908392135,0.629381347515278,1.23913982707956,-0.151207609309143
"44","ROM","er","low",271,-2.55001876830258,10.2936553120006,0.625295029059353,1.23107398861959,-0.176148611393534
"45","ROM","er","mid",2162,-0.464321061789547,9.73244795853747,0.209312056809069,0.410473994990164,0.327356220702676
"46","ROM","RE","high",298,-0.385533787885906,10.5876114140191,0.613323861628186,1.20701125540439,-0.151207609309142
"47","ROM","RE","low",299,-0.597394864782609,11.6056195197377,0.671170306298317,1.32083397124724,-0.176148611393534
"48","ROM","RE","mid",2375,-0.519714953381474,10.4746641757902,0.214935573794452,0.421480870371998,0.327356220702676
"49","SHE","er","high",272,-2.13374119566176,15.7278983462806,0.953643913980771,1.87749247678875,-0.59390755775458
"50","SHE","er","low",272,-2.04874743083456,13.8931968718158,0.842398796764668,1.65847794988755,-0.0289407796128249
"51","SHE","er","mid",2170,-0.602971770000922,14.5893470555616,0.313188631126847,0.614181164945773,0.622848337367405
"52","SHE","RE","high",298,-0.552190132986577,13.272469281133,0.768853501939758,1.51309102524525,-0.59390755775458
"53","SHE","RE","low",298,-1.31120018744966,14.0255122605938,0.812476110484247,1.59893960019474,-0.0289407796128249
"54","SHE","RE","mid",2380,-0.297029660601092,13.9963693026922,0.286897599552761,0.562595191644166,0.622848337367405
