"","subj","lang","load","mu_stat"
"1","BUL","er","high",0.874068186886364
"7","BUL","RE","high",-0.38581155754717
"13","BUL","er","low",-0.635393813263403
"19","BUL","RE","low",-0.851847265756824
"25","BUL","er","mid",-0.594285124204147
"31","BUL","RE","mid",-0.565271613190168
"2","KOS","er","high",-0.428189545888594
"8","KOS","RE","high",-0.560817639595745
"14","KOS","er","low",-0.610112486557018
"20","KOS","RE","low",-0.0536955234986946
"26","KOS","er","mid",-0.57067458080151
"32","KOS","RE","mid",-0.334166864503316
"3","KOZ","er","high",-0.52451720987471
"9","KOZ","RE","high",-0.662668800409639
"15","KOZ","er","low",-1.28472253463415
"21","KOZ","RE","low",-1.34371106501992
"27","KOZ","er","mid",-0.924127352892649
"33","KOZ","RE","mid",-0.494319673811805
"4","POG","er","high",-0.448001690171149
"10","POG","RE","high",-0.55174026742402
"16","POG","er","low",-0.125247263125
"22","POG","RE","low",-0.59313494804721
"28","POG","er","mid",-0.625399663155172
"34","POG","RE","mid",-0.626716843807381
"5","ROM","er","high",0.0858245855182926
"11","ROM","RE","high",-0.308188311348708
"17","ROM","er","low",-1.00194710857143
"23","ROM","RE","low",-0.324870362574713
"29","ROM","er","mid",-0.61219398863669
"35","ROM","RE","mid",-0.253241980153885
"6","SHE","er","high",-0.582967933180723
"12","SHE","RE","high",-0.688168529826087
"18","SHE","er","low",-0.527531135277305
"24","SHE","RE","low",-0.710799365797101
"30","SHE","er","mid",-0.360313633904051
"36","SHE","RE","mid",-0.298861323443863
