wrd,aFr,log,logmmn
the,6054238,6.78205949,0
be,4121332,6.615037601,0.024627016
be,4121332,6.615037601,0.024627016
be,4121332,6.615037601,0.024627016
be,4121332,6.615037601,0.024627016
be,4121332,6.615037601,0.024627016
be,4121332,6.615037601,0.024627016
of,3049276,6.484196736,0.043919219
and,2621945,6.418623577,0.053587839
to,2599318,6.414859414,0.054142857
a,2169251,6.336309806,0.065724827
a,2169251,6.336309806,0.065724827
in,1947012,6.289368628,0.072646202
have,1317607,6.119785893,0.097650809
have,1317607,6.119785893,0.097650809
have,1317607,6.119785893,0.097650809
have,1317607,6.119785893,0.097650809
that,1120750,6.049508748,0.108013022
it,1056241,6.023763021,0.111809174
it,1056241,6.023763021,0.111809174
I,998310,5.999265421,0.115421292
for,880726,5.944840817,0.123446082
not,769308,5.886100249,0.132107252
on,731192,5.864031431,0.135361251
you,668260,5.824945466,0.141124392
with,659922,5.819492607,0.141928405
As,654835,5.816131884,0.142423936
they,587823,5.769246575,0.149337073
at,523296,5.718747415,0.156783065
by,513388,5.710445713,0.158007133
this,454440,5.657476551,0.165817321
but,446760,5.650074282,0.16690877
from,425918,5.629325994,0.16996806
we,411625,5.614501744,0.172153864
his,409825,5.612598448,0.172434501
or,368032,5.565885582,0.179322212
which,366172,5.563685132,0.179646663
an,337737,5.528578641,0.184823039
will,336555,5.527056047,0.185047543
there,319822,5.504908335,0.188313175
say,318880,5.503627281,0.188502063
one,306482,5.486404973,0.191041456
would,279045,5.445674245,0.197047113
all,277516,5.443288027,0.197398956
can,263585,5.420920692,0.200696971
can,263585,5.420920692,0.200696971
their,254588,5.405837929,0.202920892
if,253735,5.404380378,0.203135805
What,240705,5.381485112,0.206511662
so,239637,5.379553874,0.206796419
go,229170,5.360157765,0.209656333
no,227637,5.357242853,0.210086131
make,211282,5.324862499,0.214860544
make,211282,5.324862499,0.214860544
make,211282,5.324862499,0.214860544
when,209925,5.322064162,0.215273153
more,209697,5.321592217,0.21534274
up,208188,5.318455693,0.215805214
out,197450,5.295457138,0.219196301
time,183569,5.263799342,0.223864174
time,183569,5.263799342,0.223864174
other,181802,5.259598657,0.224483556
take,174193,5.241030699,0.227221361
take,174193,5.241030699,0.227221361
take,174193,5.241030699,0.227221361
take,174193,5.241030699,0.227221361
them,167502,5.224019997,0.229729553
some,167381,5.223706158,0.229775828
year,161905,5.209260261,0.231905844
year,161905,5.209260261,0.231905844
into,157875,5.198313364,0.23351994
like,155382,5.191400707,0.234539196
then,154808,5.1897934,0.23477619
use,153676,5.186606048,0.235246159
two,152863,5.184302379,0.23558583
only,148780,5.172544554,0.237319495
my,146713,5.166468598,0.238215382
come,144934,5.161170278,0.238996608
well,143147,5.155782251,0.239791061
work,135062,5.130533176,0.243513982
may,127683,5.106133078,0.247111724
give,125293,5.097926808,0.248321721
give,125293,5.097926808,0.248321721
give,125293,5.097926808,0.248321721
new,124227,5.094215997,0.248868872
these,123602,5.092025498,0.249191856
also,123565,5.091895474,0.249211028
people,123370,5.091209565,0.249312164
people,123370,5.091209565,0.249312164
any,122151,5.086897027,0.249948038
first,120903,5.082437077,0.250605648
very,119583,5.077669444,0.251308625
after,114007,5.056931518,0.254366387
should,109165,5.038083419,0.257145499
such,107317,5.030668524,0.258238809
where,105941,5.025064068,0.259065174
because,100643,5.002783574,0.262350385
most,98142,4.991854904,0.263961793
find,96554,4.98477027,0.265006407
our,93416,4.970421267,0.267122137
need,92144,4.964467061,0.268000072
right,90786,4.958018882,0.268950842
right,90786,4.958018882,0.268950842
between,90612,4.957185716,0.26907369
those,87188,4.940456716,0.271540345
through,81218,4.909652291,0.276082391
good,81101,4.909026209,0.276174705
last,77181,4.887510401,0.279347165
own,73799,4.868050477,0.282216488
own,73799,4.868050477,0.282216488
must,70169,4.846145287,0.285446361
show,69218,4.840219047,0.286320173
show,69218,4.840219047,0.286320173
mean,68875,4.838061612,0.286638282
put,67850,4.831549852,0.287598426
both,67441,4.828924001,0.287985603
place,67237,4.827608328,0.288179596
Government,66534,4.823043634,0.28885265
become,66148,4.820516718,0.289225238
part,66059,4.819931995,0.289311454
case,63372,4.801897414,0.291970614
case,63372,4.801897414,0.291970614
Life,62654,4.796948803,0.292700276
little,62641,4.796858682,0.292713564
point,61486,4.788776241,0.293905303
system,61349,4.787807488,0.294048143
system,61349,4.787807488,0.294048143
same,61175,4.786573978,0.294230022
under,61002,4.785344074,0.294411369
call,60813,4.783996428,0.294610076
number,60699,4.783181536,0.29473023
Another,59174,4.772130927,0.296359618
area,58121,4.764333078,0.297509394
again,57367,4.758662139,0.298345562
service,55629,4.745301253,0.300315596
hand,55389,4.743423524,0.300592463
against,55288,4.74263088,0.300709337
while,54816,4.738907341,0.301258364
State,53786,4.730669248,0.302473053
state,53786,4.730669248,0.302473053
set,53625,4.729367305,0.302665022
turn,52477,4.719968999,0.304050782
party,52359,4.718991343,0.304194935
party,52359,4.718991343,0.304194935
help,51245,4.709651497,0.305572075
provide,50239,4.701040986,0.306841676
provide,50239,4.701040986,0.306841676
provide,50239,4.701040986,0.306841676
hold,49733,4.696644658,0.307489906
hold,49733,4.696644658,0.307489906
keep,48855,4.688909018,0.308630509
country,47981,4.681069295,0.309786459
country,47981,4.681069295,0.309786459
member,46946,4.671598594,0.311182893
great,46772,4.669985941,0.311420676
within,45703,4.659944709,0.312901234
follow,45663,4.659564441,0.312957303
play,45375,4.656816638,0.313362461
face,45356,4.656634747,0.31338928
order,44907,4.652314043,0.314026359
order,44907,4.652314043,0.314026359
without,44807,4.651345867,0.314169114
always,44432,4.647695862,0.3147073
during,43530,4.638788667,0.316020646
Although,42759,4.63102754,0.317165008
bring,42560,4.629001619,0.317463725
result,41971,4.622949317,0.318356124
pay,41906,4.622276209,0.318455372
social,41660,4.619719266,0.318832388
study,41549,4.618560576,0.319003235
